ID,Old ID,Feature (nl),Feature (en),Datatype,Relative importance,Variable description,Additional explanation,Mutability,Low,High,Continuous,N Unique All (test),Min (test),Max (test),Difficulty
17,216,persoon_geslacht_vrouw,person_gender_woman,int,9.903954043,"Whether the customer is female (value 1 = yes, 0 = no)",n/a,none,0,1,0,2,0,1,1.00
18,217,persoon_leeftijd_bij_onderzoek,person_age_at_investigation,int,100,Age of the customer at the time of the investigation,n/a,increase,18,67,1,49,19,67,0.00
19,267,pla_hist_pla_categorie_doelstelling_16,pla_hist_pla_category_objective_16,int,11.93466823,"Number of action plans that the customer has had historically, per objective category (e.g. outflow to training by means of an education-related offer, you provide your income independently as quickly as possible by means of the accepting paid work, etc.).","Objective 16: You receive social assistance benefit from the municipality of Rotterdam. In exchange for this, you perform an unrewarded social activity (consideration). You are expected that you deepen or expand the consideration. The agreements in this Action Plan will help you achieve this goal.",increase,0,10,1,4,0,3,0.50
20,277,pla_historie_ontwikkeling,pla_history_development,int,19.11129497,"Whether the customer has ever had an action plan in the past, per type (1.0) (e.g. mediation, social activation, etc.).",n/a,increase,0,1,0,2,0,1,0.50
21,282,pla_ondertekeningen_historie,pla_signatures_history,int,8.955054151,Number of signatures on historical action plans.,n/a,increase,0,20,1,12,0,11,0.60
22,285,relatie_kind_huidige_aantal,relationship_child_current_number,int,10.84799741,"Number of children a customer has, by age group (e.g. teen, adult, etc.).",Does not seem to equal the number of children by age group,none,0,10,0,5,0,4,1.00
23,291,relatie_overig_actueel_vorm__kostendeler,relationship_other_current_form_cost_sharer,int,35.48567371,"Summation of the number of other relationships that a customer currently has, per form (e.g. debtor, authorized representative, etc.).",n/a,both,0,10,1,5,0,4,0.90
24,300,relatie_overig_kostendeler,relationship_other_cost_sharer,int,20.74894957,"Whether the customer currently has another relationship, per type (1.0) (e.g., administrator, cost sharer).",n/a,both,0,1,0,2,0,1,0.95
25,303,relatie_partner_huidige_partner___partner__gehuwd_,relationship_partner_current_partner_partner_married,int,1.101089363,"Whether the customer has a current partner, per type (1.0) (e.g., married, unmarried, etc.).",n/a,none,0,1,0,2,0,1,1.00
26,304,relatie_partner_totaal_dagen_partner,relationship_partner_total_days_partner,int,12.44248405,Total number of days a customer has had a partner.,Tends to be >0 even if features 114-116 are 0,none,0,18250,1,4007,0,8736,1.00
